open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764849600000,3185.09,3192.67,3171.56,3175.42,99939.218,1764853199999,317887293.16567,163776,48942.567,155700704.57917,0
1764853200000,3175.41,3189.62,3154.27,3169.39,270392.540,1764856799999,857346799.60587,386251,126638.998,401636029.49397,0
1764856800000,3169.39,3187.66,3138.15,3143.01,338848.603,1764860399999,1071941934.62702,527478,149234.099,472288735.58544,0
1764860400000,3143.00,3227.66,3142.47,3206.56,499922.166,1764863999999,1593621887.45898,777478,266006.943,847969177.36405,0
1764864000000,3206.56,3225.00,3157.14,3167.16,437082.218,1764867599999,1394442513.11821,576856,207045.045,660803083.60699,0
1764867600000,3167.16,3174.10,3131.01,3159.20,271433.192,1764871199999,856228030.26134,435153,131340.731,414448105.07193,0
1764871200000,3159.21,3164.07,3131.18,3139.70,159289.860,1764874799999,501365123.12681,309992,76371.074,240390498.48870,0
1764874800000,3139.70,3140.98,3064.81,3117.66,586839.720,1764878399999,1819290816.15413,775504,268378.895,832130045.16872,0
1764878400000,3117.66,3144.59,3104.05,3139.53,189937.423,1764881999999,593212973.92429,392844,103118.870,322112403.13520,0
1764882000000,3139.53,3150.47,3117.11,3122.00,112047.647,1764885599999,351188518.95391,230685,50810.848,159310029.98726,0
1764885600000,3121.99,3148.17,3121.92,3142.57,74881.578,1764889199999,234893340.95870,135159,41545.386,130297983.33710,0
1764889200000,3142.58,3143.15,3126.77,3132.01,51647.956,1764892799999,161930536.27581,119970,24444.200,76640468.97178,0
1764892800000,3132.01,3156.50,3131.05,3145.22,98716.272,1764896399999,310409222.30687,180244,52920.616,166395875.32122,0
1764896400000,3145.23,3169.68,3142.02,3162.09,101187.802,1764899999999,319677337.41171,180043,56512.443,178539110.90447,0
1764900000000,3162.08,3188.00,3154.68,3181.68,124374.625,1764903599999,394872756.38744,226340,65451.452,207798114.83190,0
1764903600000,3181.68,3192.72,3165.00,3169.61,106190.442,1764907199999,337162255.51012,184708,49046.592,155754192.91906,0
1764907200000,3169.61,3180.64,3150.43,3167.17,168593.900,1764910799999,533430553.87410,221390,84486.755,267359336.09753,0
1764910800000,3167.18,3172.64,3151.18,3154.80,76587.775,1764914399999,241917700.23972,130495,35551.515,112313290.73373,0
1764914400000,3154.80,3176.10,3154.80,3167.65,75532.179,1764917999999,239096298.17429,133710,41062.579,129977209.59519,0
1764918000000,3167.65,3181.64,3164.87,3172.47,115508.040,1764921599999,366727669.53205,181673,55482.339,176164939.75099,0
1764921600000,3172.47,3172.47,3140.35,3153.87,139251.140,1764925199999,439486538.40100,207317,64092.026,202306087.28868,0
1764925200000,3153.88,3154.10,3106.01,3120.39,345122.638,1764928799999,1078295065.71739,464346,155231.292,484906407.59078,0
